uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q517138,Siri Derkert,1888,employment,http://www.wikidata.org/entity/Q78898737,Bonniers veckotidning,1,periodical,1851-1900
http://www.wikidata.org/entity/Q517138,Siri Derkert,1888,employment,http://www.wikidata.org/entity/Q18816637,Birgitta school,1,school,1851-1900
http://www.wikidata.org/entity/Q5232589,David Cortright,1946,employment,http://www.wikidata.org/entity/Q7157308,Peace Action,1,peace organization,1941-1960
http://www.wikidata.org/entity/Q5232589,David Cortright,1946,employment,http://www.wikidata.org/entity/Q45132619,"Kroc Institute for International Peace Studies, University of Notre Dame",1,academic institution,1941-1960
http://www.wikidata.org/entity/Q5249864,DeeDee Halleck,1940,employment,http://www.wikidata.org/entity/Q1446181,Hunter College,2,public educational institution of the United States | university,1921-1940
http://www.wikidata.org/entity/Q5249864,DeeDee Halleck,1940,employment,http://www.wikidata.org/entity/Q1783603,Long Island University,1,university,1921-1940
http://www.wikidata.org/entity/Q5249864,DeeDee Halleck,1940,employment,http://www.wikidata.org/entity/Q622664,"University of California, San Diego",2,public educational institution of the United States | public university,1921-1940
http://www.wikidata.org/entity/Q5249864,DeeDee Halleck,1940,employment,http://www.wikidata.org/entity/Q499451,Rutgers University,4,public research university | sea grant institution | land-grant university | Colonial Colleges,1921-1940
http://www.wikidata.org/entity/Q5249864,DeeDee Halleck,1940,employment,http://www.wikidata.org/entity/Q1279835,School of Visual Arts,3,private for-profit educational institution | university | art academy,1921-1940
http://www.wikidata.org/entity/Q5249864,DeeDee Halleck,1940,employment,http://www.wikidata.org/entity/Q49210,New York University,4,research university | private university | workplace | private not-for-profit educational institution,1921-1940
http://www.wikidata.org/entity/Q5298378,Dorothy Detzer,1893,membership,http://www.wikidata.org/entity/Q689768,Women's International League for Peace and Freedom,8,women's organization | international organization | nonprofit organization | non-governmental organization,1851-1900
http://www.wikidata.org/entity/Q5301942,Douglas James Roche,1929,employment,http://www.wikidata.org/entity/Q640694,University of Alberta,5,public research university | open-access publisher | autonomous university | comprehensive academic and research university | corporation,1921-1940
http://www.wikidata.org/entity/Q5326447,Earle L. Reynolds,1910,employment,http://www.wikidata.org/entity/Q1047293,"University of California, Santa Cruz",2,university campus | public educational institution of the United States,1901-1920
http://www.wikidata.org/entity/Q533306,Randall Forsberg,1943,membership,http://www.wikidata.org/entity/Q113620875,Boston study group,1,peace organization,1941-1960
http://www.wikidata.org/entity/Q5334888,Ed Grothus,1923,employment,http://www.wikidata.org/entity/Q379848,Los Alamos National Laboratory,2,United States national laboratory | facility,1921-1940
http://www.wikidata.org/entity/Q5341628,Edward Atkinson,1827,membership,http://www.wikidata.org/entity/Q2583804,American Anti-Imperialist League,1,political organization,1801-1850
http://www.wikidata.org/entity/Q5341628,Edward Atkinson,1827,membership,http://www.wikidata.org/entity/Q463303,American Academy of Arts and Sciences,3,academic publisher | learned society | nonprofit organization,1801-1850
http://www.wikidata.org/entity/Q5344073,Edward Lawrence Wheelwright,1921,employment,http://www.wikidata.org/entity/Q487556,University of Sydney,1,public research university,1921-1940
http://www.wikidata.org/entity/Q539960,Scilla Elworthy,1943,membership,http://www.wikidata.org/entity/Q322431,World Future Council,2,foundation | nonprofit organization,1941-1960
http://www.wikidata.org/entity/Q539995,Sumaya Farhat Naser,1948,employment,http://www.wikidata.org/entity/Q510029,Birzeit University,1,university,1941-1960
http://www.wikidata.org/entity/Q5433955,Fannie Fern Andrews,1867,membership,http://www.wikidata.org/entity/Q60564688,International Committee of Women for Permanent Peace,3,women's organization | international organization | peace organization,1851-1900
http://www.wikidata.org/entity/Q5438718,Fawaz Gerges,1958,employment,http://www.wikidata.org/entity/Q49088,Columbia University,5,research university | private university | Colonial Colleges | private not-for-profit educational institution | organization,1941-1960
