"subject_uri","birthYear","country","nationality"
"http://dbpedia.org/resource/Ada_Yonath",1939,"Mandatory_Palestine",
"http://dbpedia.org/resource/Ada_Yonath",1939,"Israel",
"http://dbpedia.org/resource/José_Argüelles",1939,,
"http://dbpedia.org/resource/Judy_Collins",1939,,
"http://dbpedia.org/resource/Elizabeth_McAlister",1939,,
"http://dbpedia.org/resource/Stew_Albert",1939,,
"http://dbpedia.org/resource/Tom_Hayden",1939,,
"http://dbpedia.org/resource/Ed_Sanders",1939,,
"http://dbpedia.org/resource/H._James_Shea_Jr.",1939,,
"http://dbpedia.org/resource/Wangari_Maathai",1940,"Kenya_Colony",
"http://dbpedia.org/resource/Bernard_Lafayette",1940,,
"http://dbpedia.org/resource/Judith_Hand",1940,,
"http://dbpedia.org/resource/Rennie_Davis",1940,,
"http://dbpedia.org/resource/Ringo_Starr",1940,,
"http://dbpedia.org/resource/Thomas_Lewis_(activist)",1940,,
"http://dbpedia.org/resource/John_Lennon",1940,,
"http://dbpedia.org/resource/Martin_Sheen",1940,,
"http://dbpedia.org/resource/Phil_Ochs",1940,,
"http://dbpedia.org/resource/Owen_Wilkes",1940,"New_Zealand","New Zealand"
"http://dbpedia.org/resource/Owen_Wilkes",1940,"New_Zealand","New_Zealand"
"http://dbpedia.org/resource/Amelia_Rokotuivuna",1941,"Fiji","Fijian"
"http://dbpedia.org/resource/Amelia_Rokotuivuna",1941,"Fiji","Fiji"
"http://dbpedia.org/resource/Brian_Willson",1941,,
"http://dbpedia.org/resource/Jim_Forest",1941,,
"http://dbpedia.org/resource/Joan_Baez",1941,,
"http://dbpedia.org/resource/Daniel_Barenboim",1942,,"Argentina"
"http://dbpedia.org/resource/Daniel_Barenboim",1942,,"Israel"
"http://dbpedia.org/resource/Daniel_Barenboim",1942,,"Spain"
"http://dbpedia.org/resource/Daniel_Barenboim",1942,,"State of Palestine"
"http://dbpedia.org/resource/Daniel_Barenboim",1942,,""
"http://dbpedia.org/resource/Howard_Morland",1942,,
"http://dbpedia.org/resource/Helen_Steven",1942,,
"http://dbpedia.org/resource/Tadatoshi_Akiba",1942,,
"http://dbpedia.org/resource/Betty_Williams_(peace_activist)",1943,"Northern_Ireland","Northern Irish"
"http://dbpedia.org/resource/Roger_Waters",1943,,
"http://dbpedia.org/resource/John_Wallach",1943,,
"http://dbpedia.org/resource/George_Harrison",1943,,
"http://dbpedia.org/resource/Bhikkhu_Bodhi",1944,,"American"
"http://dbpedia.org/resource/Chico_Mendes",1944,"Brazil",
"http://dbpedia.org/resource/Ruth_Adler",1944,"Devon",
"http://dbpedia.org/resource/Mairead_Maguire",1944,"Northern_Ireland",
"http://dbpedia.org/resource/Michael_Ferber",1944,,
"http://dbpedia.org/resource/Bob_Marley",1945,"Colony_of_Jamaica",
"http://dbpedia.org/resource/Mohammed_Dajani_Daoudi",1946,,"Palestinian"
"http://dbpedia.org/resource/Teresa_Sarti_Strada",1946,,"Italian"
"http://dbpedia.org/resource/Jo_Vallentine",1946,,"Australian"
"http://dbpedia.org/resource/Mark_Satin",1946,,"American"
"http://dbpedia.org/resource/Mohammed_Dajani_Daoudi",1946,,"Palestinian_people"
"http://dbpedia.org/resource/Dennis_Kucinich",1946,"United_States",
"http://dbpedia.org/resource/Alexander_Langer",1946,"Italy",
"http://dbpedia.org/resource/Alexander_Langer",1946,"South_Tyrol",
"http://dbpedia.org/resource/Ron_Kovic",1946,,
"http://dbpedia.org/resource/Danny_Glover",1946,,
"http://dbpedia.org/resource/Jeff_Halper",1946,,"United States/Israel"
"http://dbpedia.org/resource/Alfred-Maurice_de_Zayas",1947,"Republic_of_Cuba_(1902–1959)","Cuban_Americans"
"http://dbpedia.org/resource/Alfred-Maurice_de_Zayas",1947,"Republic_of_Cuba_(1902–1959)","Swiss_people"
"http://dbpedia.org/resource/Ellen_Thomas",1947,,"American"
"http://dbpedia.org/resource/Shirin_Ebadi",1947,"Iran",
"http://dbpedia.org/resource/Petra_Kelly",1947,,
"http://dbpedia.org/resource/Thomas_(activist)",1947,,
"http://dbpedia.org/resource/Carlos_Filipe_Ximenes_Belo",1948,"Portuguese_Timor","East Timorese"
"http://dbpedia.org/resource/Carlos_Filipe_Ximenes_Belo",1948,"Portuguese_Timor","East_Timorese"
"http://dbpedia.org/resource/Zorica_Jevremović",1948,"Federal_People's_Republic_of_Yugoslavia",
